Vote ID,File,Order of vote,Date,O'clock,Title,Title_Ro,Title_Fr,Title_German,Title_Polski,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,interinstitutional file number,Link,Committee responsabile,De,Subject,Subject_ro,Subject_fr,Subject_ger,Subject_pl,Final vote?,Am No.,Author,RCV,Vote,Yeas,No,Abs,is_main
84,6.0,1.0,21.10.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2013/012 BE/Ford Genk,,,,,,Bud,Motion for resolution,q,Rübig,A8-0015/2014,2014/2065/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0015&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,593,84,10,1.0
85,6.0,1.0,21.10.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2013/002 BE/Carsid,,,,,,Bud,Motion for resolution,q,Sarvamaa,A8-0017/2014,2014/2071/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0017&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,595,84,9,1.0
86,6.0,1.0,21.10.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/006 FR/PSA,,,,,,Bud,Motion for resolution,q,Thomas,A8-0016/2014,2014/2076/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0016&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,579,81,9,1.0
87,7.0,1.0,22.10.2014,,Election of the Commission,,,,,,Non,Appointment of the Juncker Commission,s,0,0,0,http://www.europarl.europa.eu/sides/getDoc.do?type=AGENDA&reference=20141022&secondRef=SIT&language=EN,0,Constitutional Affairs,approbation,,,,,1.0,,0,RCV,+,423,209,67,1.0
88,7.0,1.0,22.10.2014,,Draft amending budget No 2/2014 - surplus resulting from the implementation of the budget year 2013,,,,,,Bud,Motion for resolution,q,Deprez,A8-0018/2014,2014/2035/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0018&language=EN,Committee on Budgets,Budgets,vote: resolution,,,,,1.0,,0,RCV,+,521,88,56,1.0
131,7.0,27.0,22.10.2014,,General budget of the European Union for the financial year 2015 - all sections,,,,,,Bud,Motion for resolution,s,Rubial/Hohlmeier,A8-0014/2014,2014/2040/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0014&language=EN,Committee on Budgets,Budgets,vote: resolution,,,,,1.0,,0,RCV,+,464,186,46,1.0
132,7.0,1.0,22.10.2014,,Protocol to the EU-Republic of Korea Free Trade Agreement to take account of Croatia's accession to the EU,,,,,***,Leg,Draft legislative resolution,s,Zahradil,A8-0012/2014,2014/0019/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0012&language=EN,Committee on International Trade,International Trade,approbation,,,,,1.0,,0,RCV,+,524,53,106,1.0
134,7.0,2.0,22.10.2014,,European Semester for economic policy coordination: implementation of 2014 priorities,,,,,,Non,Motion for resolution,s,De Backer,A8-0019/2014,2014/2059/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0019&language=EN,Committee on Economic and Monetary Affairs,Economic and Monetary Affairs,vote: resolution,,,,,1.0,,0,RCV,+,426,240,10,1.0
135,8.0,1.0,23.10.2014,,Closing down of Memorial (Sakharov Prize 2009) in Russia,,,,,,Non,Joint motion for resolution,s,0,RC-B8-0164/2014,2014/2903/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0164&language=EN,0,Foreign Affairs,vote: resolution,,,,,1.0,,0,RCV,+,529,57,34,1.0
137,8.0,1.0,23.10.2014,,Disappearance of 43 teaching students in Mexico,,,,,,Non,Joint motion for resolution,s,0,RC-B8-0161/2014,2014/2905/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0161&language=EN,0,Foreign Affairs,vote: resolution,,,,,1.0,,0,RCV,+,495,86,56,1.0
138,8.0,1.0,23.10.2014,,Customs duties on goods originating in Ukraine,,,,,***I,Leg,Draft legislative resolution,s,Landsbergis,A8-0021/2014,2014/0279/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0021&language=EN,Committee on International Trade,International Trade,vote: legislative resolution,,,,,1.0,,0,RCV,+,497,78,56,1.0
139,8.0,1.0,23.10.2014,,2012 discharge: Body of European Regulators for Electronic Communications,,,,,,Bud,Proposal for a decision,q,Sarvamaa,A8-0011/2014,2013/2241/DEC,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0011&language=EN,Committee on Budgetary Control,Budgetary Control,vote: resolution,,,,,1.0,,0,RCV,+,493,137,5,1.0
140,8.0,1.0,23.10.2014,,2012 discharge: European Council and Council,,,,,,Bud,Proposal for a decision,q,Deutsch,A8-0010/2014,2013/2197/DEC,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0010&language=EN,Committee on Budgetary Control,Budgetary Control,vote: resolution,,,,,1.0,,0,RCV,+,623,7,2,1.0
141,9.0,1.0,13.11.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/007 IE/Andersen Ireland,,,,,,Bud,Motion for resolution,q,Štefanec,A8-0024/2014,2014/2098/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0024&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,569,72,12,1.0
142,9.0,1.0,13.11.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/009 EL/Sprider Stores,,,,,,Bud,Motion for resolution,q,Negrescu,A8-0023/2014,2014/2107/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0023&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,573,75,15,1.0
143,9.0,1.0,13.11.2014,,Association agreement between the European Union and the Republic of Moldova,,,,,***,Leg,Draft legislative resolution,s,Auštrevičius,A8-0020/2014,2014/0083/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0020&language=EN,Committee on Foreign Affairs,Foreign Affairs,approbation,,,,,1.0,,0,RCV,+,535,94,44,1.0
144,9.0,1.0,13.11.2014,,Conclusion of an Association agreement between the European Union and the Republic of Moldova,,,,,,Non,Motion for resolution,s,Auštrevičius,A8-0022/2014,2014/2817/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0022&language=EN,Committee on Foreign Affairs,Foreign Affairs,vote: resolution,,,,,1.0,,0,RCV,+,529,96,46,1.0
154,10.0,8.0,25.11.2014,,The EU and the global development framework after 2015,,,,,,Non,Motion for resolution,s,Stier,A8-0037/2014,2014/2143/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0037&language=EN,Committee on Development,Development,vote: resolution,,,,,1.0,,0,RCV,+,541,96,29,1.0
155,10.0,1.0,25.11.2014,,Protocol on matters specific to railway rolling stock,,,,,***,Leg,Draft legislative resolution,s,Hautala,A8-0030/2014,2013/0184/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0030&language=EN,Committee on Legal Affairs,Legal Affairs,approbation,,,,,1.0,,0,RCV,+,557,82,17,1.0
156,10.0,1.0,25.11.2014,,Hague Convention of 30 June 2005 on choice of Court agreements,,,,,***,Leg,Draft legislative resolution,s,Svoboda,A8-0034/2014,2014/0021/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0034&language=EN,Committee on Legal Affairs,Legal Affairs,approbation,,,,,1.0,,0,RCV,+,619,52,10,1.0
157,10.0,1.0,25.11.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/008 FI/STX Rauma,,,,,,Bud,Motion for resolution,q,Sarvamaa,A8-0043/2014,2014/2137/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0043&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,597,77,11,1.0
158,10.0,1.0,25.11.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/005 FR/GAD,,,,,,Bud,Motion for resolution,q,Jäätteenmäki,A8-0044/2014,2014/2166/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0044&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,593,80,16,1.0
166,10.0,1.0,25.11.2014,,Opinion of the Court of Justice - EU/Canada agreement on the transfer and processing of Passenger Name Record (PNR) data,,,,,,Non,Motion for resolution,s,0,B8-0265/2014,2014/2966/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0265&language=EN,0,Foreign Affairs,vote: resolution,,,,,1.0,,0,RCV,+,383,271,47,1.0
167,11.0,1.0,26.11.2014,,Collection of statistical information by the European Central Bank,,,,,*,Leg,Draft legislative resolution,s,Gualtieri,A8-0027/2014,2014/0808/CNS,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0027&language=EN,Committee on Economic and Monetary Affairs,Economic and Monetary Affairs,single vote,,,,,1.0,,0,RCV,+,541,98,49,1.0
168,11.0,1.0,26.11.2014,,The powers of the European Central Bank to impose sanctions,,,,,*,Leg,Draft legislative resolution,s,Swinburne,A8-0028/2014,2014/0807/CNS,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0028&language=EN,Committee on Economic and Monetary Affairs,Economic and Monetary Affairs,vote: legislative resolution,,,,,1.0,,0,RCV,+,361,118,223,1.0
169,12.0,1.0,27.11.2014,,Delays in the start-up of cohesion policy for 2014-2020,,,,,,Non,Joint motion for resolution,s,0,RC-B8-0278/2014,2014/2946/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0278&language=EN,0,Regional Development,vote: resolution,,,,,1.0,,0,RCV,+,608,31,27,1.0
170,12.0,1.0,27.11.2014,,Decision to raise no objections to the Commission delegated regulation on the provisional system of instalments on contributions to cover the administrative expenditures of the Single Resolution Board,,,,,,Non,Motion for resolution,s,Elisa Ferreira,B8-0246/2014,2014/2882/DEA,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0246&language=EN,Committee on Economic and Monetary Affairs ,Economic and Monetary Affairs,vote: resolution,,,,,1.0,,0,RCV,+,545,72,51,1.0
184,12.0,9.0,27.11.2014,,Commission's impact assessment guidelines,,,,,,Non,Joint motion for resolution,s,0,RC-B8-0311/2014,2014/2967/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0311&language=EN,0,"Industry, Research And Energy",vote: resolution,,,,,1.0,,0,RCV,+,548,83,32,1.0
195,12.0,1.0,27.11.2014,,Motion of censure on the Commission,,,,,,Non,Motion for resolution,q,0,B8-0249/2014,2014/0000/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0249&language=EN,0,Constitutional Affairs,vote: resolution,,,,,1.0,,0,RCV,-,101,461,88,1.0
198,12.0,3.0,27.11.2014,,Child malnutrition in developing countries,,,,,,Non,Motion for resolution,s,0,B8-0253/2014,2014/2853/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0253&language=EN,0,Development,vote: resolution,,,,,1.0,,0,RCV,+,500,7,42,1.0
217,12.0,19.0,27.11.2014,,Digital single market,,,,,,Non,Joint motion for resolution,s,0,RC-B8-0286/2032,2014/2973/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0286&language=EN,0,Internal Market And Consumer Protection,vote: resolution,,,,,1.0,,0,RCV,+,384,174,56,1.0
218,13.0,1.0,16.12.2014,,Scientific examination of questions relating to food,,,,,***I,Leg,Draft legislative resolution,s,La Via,A8-0059/2014,2014/0132/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0059&language=EN,"Committee on the Environment, Public Health and Food Safety","Environment, Climate and Food Safety",single vote,,,,,1.0,,0,RCV,+,640,53,6,1.0
219,13.0,1.0,16.12.2014,,Convention on International Trade in Endangered Species (CITES),,,,,***,Leg,Draft legislative resolution,s,Ayuso,A8-0036/2014,2013/0418/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0036&language=EN,"Committee on the Environment, Public Health and Food Safety","Environment, Climate and Food Safety",approbation,,,,,1.0,,0,RCV,+,641,60,1,1.0
220,13.0,1.0,16.12.2014,,Cooperation agreement on a civil Global Navigation Satellite System (GNSS) with Morocco,,,,,***,Leg,Draft legislative resolution,s,Buzek,A8-0045/2014,2013/0414/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0045&language=EN,"Committee on Industry, Research and Energy","Industry, Research And Energy",approbation,,,,,1.0,,0,RCV,+,615,79,10,1.0
221,13.0,1.0,16.12.2014,,Renewal of the Agreement on cooperation in science and technology with Ukraine,,,,,***,Leg,Draft legislative resolution,s,Buzek,A8-0039/2014,2014/0154/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0039&language=EN,"Committee on Industry, Research and Energy","Industry, Research And Energy",approbation,,,,,1.0,,0,RCV,+,579,112,12,1.0
222,13.0,1.0,16.12.2014,,Participation of Croatia in the European Economic Area,,,,,***,Leg,Draft legislative resolution,s,Lambsdorff,A8-0026/2014,2014/0047/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0026&language=EN,Committee on International Trade,International Trade,approbation,,,,,1.0,,0,RCV,+,622,31,51,1.0
223,13.0,1.0,16.12.2014,,Dock dues in the French outermost regions,,,,,*,Leg,Draft legislative resolution,s,Mihaylova,A8-0054/2014,2014/0308/CNS,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0054&language=EN,Committee on Regional Development,Regional Development,single vote,,,,,1.0,,0,RCV,+,594,99,10,1.0
224,13.0,1.0,16.12.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/010 IT/Whirlpool,,,,,,Bud,Motion for resolution,q,Viotti,A8-0064/2014,2014/2170/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0064&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,604,82,15,1.0
225,13.0,1.0,16.12.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2013/006 PL/Fiat Auto Poland S.A.,,,,,,Bud,Motion for resolution,q,Olbrycht,A8-0062/2014,2014/2181/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0062&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,603,81,17,1.0
226,13.0,1.0,16.12.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/013 EL/Odyssefs Fokas,,,,,,Bud,Motion for resolution,q,Vana,A8-0063/2014,2014/2183/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0063&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,610,77,13,1.0
227,13.0,1.0,16.12.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2013/014 FR/Air France,,,,,,Bud,Motion for resolution,q,Zanni,A8-0065/2014,2014/2185/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0065&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,525,88,87,1.0
228,14.0,1.0,17.12.2014,,Autonomous trade preferences for the Republic of Moldova,,,,,***I,Leg,Draft legislative resolution,s,Moisă,A8-0053/2014,2014/0250/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0053&language=EN,Committee on International Trade,International Trade,single vote,,,,,1.0,,0,RCV,+,551,67,23,1.0
229,14.0,1.0,17.12.2014,,Tariff treatment for goods originating from Ecuador,,,,,***I,Leg,Draft legislative resolution,s,Scholz,A8-0056/2014,2014/0287/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0056&language=EN,Committee on International Trade,International Trade,single vote,,,,,1.0,,0,RCV,+,523,39,102,1.0
230,14.0,1.0,17.12.2014,,Mobilisation of the Contingency Margin in 2014,,,,,,Bud,Motion for resolution,q,Deprez,A8-0068/2014,2014/2037/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0068&language=EN,Committee on Budgets,Budgets,vote: resolution,,,,,1.0,,0,RCV,+,504,120,43,1.0
231,14.0,1.0,17.12.2014,,"Draft amending budget No 3/2014: Revenue from fines, interest payments, reimbursements and repayments – Payment appropriations – Establishment plans of the Commission, the Committee of the Regions and the European Data Protection Supervisor",,,,,,Bud,Motion for resolution,q,Deprez,A8-0069/2014, 2014/2036/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0069&language=EN,Committee on Budgets,Budgets,vote: resolution,,,,,1.0,,0,RCV,+,506,122,47,1.0
232,14.0,1.0,17.12.2014,,"Draft amending budget No 4/2014: Traditional own resources (TOR), VAT and Gross National Income (GNI) bases",,,,,,Bud,Motion for resolution,q,Deprez,A8-0076/2014,2014/2053/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0076&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,605,58,17,1.0
233,14.0,1.0,17.12.2014,,Mobilisation of the EU Solidarity Fund: Floods in Italy - Earthquakes in Greece - Ice in Slovenia - Ice and floods in Croatia,,,,,,Bud,Motion for resolution,q,Šulin,A8-0073/2014,2014/2072/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0073&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,651,26,7,1.0
234,14.0,1.0,17.12.2014,,Draft amending budget No 5/2014: Floods in Italy (Sardinia) in 2013 - Earthquakes in Greece - Ice in Slovenia - Ice followed by floods in Croatia in 2014,,,,,,Bud,Motion for resolution,q,Deprez,A8-0078/2014,2014/2073/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0078&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,649,27,13,1.0
235,14.0,1.0,17.12.2014,,"Draft amending budget No 6/2014: Revision of the forecast of traditional own resources, VAT and GNI contributions",,,,,,Bud,Motion for resolution,q,Deprez,A8-0074/2014,2014/2162/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0074&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,589,66,42,1.0
236,14.0,1.0,17.12.2014,,"Mobilisation of the EU Solidarity Fund: Floods in Serbia, Croatia and Bulgaria",,,,,,Bud,Motion for resolution,q,Fernandes,A8-0075/2014,2014/2161/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0075&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,665,30,8,1.0
